N,Year,TLen,Species,number,PerpDist,
1,2005,35,Blackstart,1,0.0,
2,2005,35,LaughingDove,1,0.2,
3,2005,35,Blackstart,1,0.0,
4,2005,35,Blackstart,1,3.3,
5,2005,35,WhiteCrownedBlackWheatear,2,4.4,
6,2005,35,WhiteCrownedBlackWheatear,1,6.4,
7,2005,35,Blackstart,1,7.1,
8,2005,35,WhiteCrownedBlackWheatear,1,4.8,
9,2005,35,DesertLark,3,11.5,
10,2005,35,SinaiRoseFinch,2,14.1,
11,2005,35,ScrubWarbler,2,0.0,
12,2005,35,Blackstart,1,2.1,
13,2005,35,WhiteCrownedBlackWheatear,1,6.2,
14,2005,35,WhiteCrownedBlackWheatear,1,16.2,
15,2005,35,ScrubWarbler,2,17.3,
16,2005,35,WhiteCrownedBlackWheatear,1,19.7,
17,2005,35,DesertLark,1,20.0,
18,2005,35,GreatSpottedCuckoo,1,20.0,
19,2005,35,RockDove,3,0.0,
20,2005,35,WhiteCrownedBlackWheatear,1,6.0,
21,2005,35,Blackstart,1,14.3,
22,2005,35,Blackstart,2,0.0,
23,2005,35,RockDove,5,2.6,
24,2005,35,TristramsStarling,10,7.8,
25,2005,35,WhiteCrownedBlackWheatear,4,13.6,
26,2005,35,YellowVentedBulbul,1,21.6,
27,2005,35,DesertLark,1,0.0,
28,2005,35,ScrubWarbler,1,17.5,
29,2005,35,WhiteCrownedBlackWheatear,1,37.7,
30,2005,35,Blackstart,1,9.6,
31,2005,35,WhiteCrownedBlackWheatear,1,5.2,
32,2005,35,WhiteCrownedBlackWheatear,1,50.9,
33,2005,35,WhiteCrownedBlackWheatear,1,0.0,
34,2005,35,WhiteCrownedBlackWheatear,1,25.4,
35,2005,35,Blackstart,2,45.0,
36,2005,35,SinaiRoseFinch,1,45.0,
37,2005,35,Blackstart,1,70.0,
38,2005,35,SandPartridge,1,70.0,
39,2005,35,DesertLark,1,0.0,
40,2005,35,SandPartridge,2,45.9,
41,2005,35,DesertLark,1,0.0,
42,2005,35,WhiteCrownedBlackWheatear,1,8.7,
